,name
0,Ukraine
1,France
2,Spain
3,Sweden
4,Germany
5,Finland
6,Norway
7,Poland
8,Italy
9,United Kingdom
10,Romania
11,Belarus
12,Greece
13,Bulgaria
14,Iceland
15,Portugal
16,Czech Republic
17,Denmark
18,Hungary
19,Serbia
20,Austria
21,Ireland
22,Lithuania
23,Latvia
24,Croatia
25,Bosnia and Herzegovina
26,Slovakia
27,Estonia
28,Netherlands
29,Switzerland
30,Moldova
31,Belgium
32,Albania
33,Macedonia
34,Slovenia
35,Montenegro
36,Cyprus
37,Luxembourg
38,Faroe Island
39,Andorra
40,Malta
41,Liechtenstein
42,Guernsey
43,San Marino
44,Gibraltar
45,Monaco
46,Vatican City
